codigoDane_municipio;tipo_division_geografica;codigo;grupo_edad;total_2017;hombres_2017;mujeres_2017
5001;Comuna;Popular; Total;131445;62264;69181
5001;Comuna;Popular; 0-4;11799;6027;5772
5001;Comuna;Popular; 5-9;11707;5941;5766
5001;Comuna;Popular; 10-14;11113;5636;5477
5001;Comuna;Popular; 15-19;11056;5535;5521
5001;Comuna;Popular; 20-24;10779;5311;5468
5001;Comuna;Popular; 25-29;10956;5285;5671
5001;Comuna;Popular; 30-34;10037;4616;5421
5001;Comuna;Popular; 35-39;8971;3990;4981
5001;Comuna;Popular; 40-44;7859;3479;4380
5001;Comuna;Popular; 45-49;8280;3732;4548
5001;Comuna;Popular; 50-54;8382;3804;4578
5001;Comuna;Popular; 55-59;6789;3045;3744
5001;Comuna;Popular; 60-64;4860;2158;2702
5001;Comuna;Popular; 65-69;3426;1504;1922
5001;Comuna;Popular; 70-74;2228;946;1282
5001;Comuna;Popular; 75-79;1589;642;947
5001;Comuna;Popular; 80 Y MÁS;1614;613;1001
5001;Comuna;Santa Cruz; Total;112514;53034;59480
5001;Comuna;Santa Cruz; 0-4;8789;4498;4291
5001;Comuna;Santa Cruz; 5-9;8720;4443;4277
5001;Comuna;Santa Cruz; 10-14;8546;4378;4168
5001;Comuna;Santa Cruz; 15-19;8891;4540;4351
5001;Comuna;Santa Cruz; 20-24;9289;4695;4594
5001;Comuna;Santa Cruz; 25-29;9814;4907;4907
5001;Comuna;Santa Cruz; 30-34;9039;4280;4759
5001;Comuna;Santa Cruz; 35-39;7867;3563;4304
5001;Comuna;Santa Cruz; 40-44;6491;2888;3603
5001;Comuna;Santa Cruz; 45-49;7037;3134;3903
5001;Comuna;Santa Cruz; 50-54;7978;3521;4457
5001;Comuna;Santa Cruz; 55-59;6554;2801;3753
5001;Comuna;Santa Cruz; 60-64;4581;1926;2655
5001;Comuna;Santa Cruz; 65-69;3424;1419;2005
5001;Comuna;Santa Cruz; 70-74;2257;900;1357
5001;Comuna;Santa Cruz; 75-79;1471;544;927
5001;Comuna;Santa Cruz; 80 Y MÁS;1766;597;1169
5001;Comuna;Manrique; Total;161070;77306;83764
5001;Comuna;Manrique; 0-4;11440;5854;5586
5001;Comuna;Manrique; 5-9;11314;5766;5548
5001;Comuna;Manrique; 10-14;11312;5816;5496
5001;Comuna;Manrique; 15-19;11756;6048;5708
5001;Comuna;Manrique; 20-24;12422;6338;6084
5001;Comuna;Manrique; 25-29;13701;7005;6696
5001;Comuna;Manrique; 30-34;12536;6248;6288
5001;Comuna;Manrique; 35-39;10458;4974;5484
5001;Comuna;Manrique; 40-44;9325;4327;4998
5001;Comuna;Manrique; 45-49;11208;5181;6027
5001;Comuna;Manrique; 50-54;12622;5733;6889
5001;Comuna;Manrique; 55-59;11293;4978;6315
5001;Comuna;Manrique; 60-64;8057;3510;4547
5001;Comuna;Manrique; 65-69;5460;2353;3107
5001;Comuna;Manrique; 70-74;3568;1482;2086
5001;Comuna;Manrique; 75-79;2238;870;1368
5001;Comuna;Manrique; 80 Y MÁS;2360;823;1537
5001;Comuna;Aranjuez; Total;162915;77769;85146
5001;Comuna;Aranjuez; 0-4;10047;5144;4903
5001;Comuna;Aranjuez; 5-9;10206;5214;4992
5001;Comuna;Aranjuez; 10-14;10357;5348;5009
5001;Comuna;Aranjuez; 15-19;10976;5711;5265
5001;Comuna;Aranjuez; 20-24;11936;6167;5769
5001;Comuna;Aranjuez; 25-29;13804;7133;6671
5001;Comuna;Aranjuez; 30-34;13695;6871;6824
5001;Comuna;Aranjuez; 35-39;11557;5546;6011
5001;Comuna;Aranjuez; 40-44;9851;4557;5294
5001;Comuna;Aranjuez; 45-49;11339;5196;6143
5001;Comuna;Aranjuez; 50-54;12631;5647;6984
5001;Comuna;Aranjuez; 55-59;11616;5031;6585
5001;Comuna;Aranjuez; 60-64;8990;3867;5123
5001;Comuna;Aranjuez; 65-69;6352;2702;3650
5001;Comuna;Aranjuez; 70-74;4103;1684;2419
5001;Comuna;Aranjuez; 75-79;2551;965;1586
5001;Comuna;Aranjuez; 80 Y MÁS;2904;986;1918
5001;Comuna;Castilla; Total;150881;71463;79418
5001;Comuna;Castilla; 0-4;7844;4015;3829
5001;Comuna;Castilla; 5-9;7986;4071;3915
5001;Comuna;Castilla; 10-14;8228;4230;3998
5001;Comuna;Castilla; 15-19;8743;4491;4252
5001;Comuna;Castilla; 20-24;10642;5403;5239
5001;Comuna;Castilla; 25-29;12446;6348;6098
5001;Comuna;Castilla; 30-34;11560;5734;5826
5001;Comuna;Castilla; 35-39;10021;4759;5262
5001;Comuna;Castilla; 40-44;9083;4176;4907
5001;Comuna;Castilla; 45-49;12129;5504;6625
5001;Comuna;Castilla; 50-54;14627;6609;8018
5001;Comuna;Castilla; 55-59;12250;5480;6770
5001;Comuna;Castilla; 60-64;9130;4008;5122
5001;Comuna;Castilla; 65-69;6665;2861;3804
5001;Comuna;Castilla; 70-74;4253;1764;2489
5001;Comuna;Castilla; 75-79;2652;1051;1601
5001;Comuna;Castilla; 80 Y MÁS;2622;959;1663
5001;Comuna;Doce de Octubre; Total;194787;92402;102385
5001;Comuna;Doce de Octubre; 0-4;12714;6507;6207
5001;Comuna;Doce de Octubre; 5-9;12562;6419;6143
5001;Comuna;Doce de Octubre; 10-14;12473;6383;6090
5001;Comuna;Doce de Octubre; 15-19;13301;6766;6535
5001;Comuna;Doce de Octubre; 20-24;14749;7433;7316
5001;Comuna;Doce de Octubre; 25-29;15935;8024;7911
5001;Comuna;Doce de Octubre; 30-34;14512;7035;7477
5001;Comuna;Doce de Octubre; 35-39;12670;5795;6875
5001;Comuna;Doce de Octubre; 40-44;11435;5096;6339
5001;Comuna;Doce de Octubre; 45-49;14508;6554;7954
5001;Comuna;Doce de Octubre; 50-54;16409;7458;8951
5001;Comuna;Doce de Octubre; 55-59;14151;6366;7785
5001;Comuna;Doce de Octubre; 60-64;10555;4712;5843
5001;Comuna;Doce de Octubre; 65-69;7568;3324;4244
5001;Comuna;Doce de Octubre; 70-74;4926;2082;2844
5001;Comuna;Doce de Octubre; 75-79;3150;1269;1881
5001;Comuna;Doce de Octubre; 80 Y MÁS;3169;1179;1990
5001;Comuna;Robledo; Total;174406;82690;91716
5001;Comuna;Robledo; 0-4;10897;5575;5322
5001;Comuna;Robledo; 5-9;11153;5700;5453
5001;Comuna;Robledo; 10-14;11142;5710;5432
5001;Comuna;Robledo; 15-19;12065;6181;5884
5001;Comuna;Robledo; 20-24;13989;7090;6899
5001;Comuna;Robledo; 25-29;14847;7538;7309
5001;Comuna;Robledo; 30-34;13997;6903;7094
5001;Comuna;Robledo; 35-39;12195;5775;6420
5001;Comuna;Robledo; 40-44;10244;4630;5614
5001;Comuna;Robledo; 45-49;11809;5308;6501
5001;Comuna;Robledo; 50-54;13580;6104;7476
5001;Comuna;Robledo; 55-59;12245;5400;6845
5001;Comuna;Robledo; 60-64;9498;4097;5401
5001;Comuna;Robledo; 65-69;6923;2923;4000
5001;Comuna;Robledo; 70-74;4467;1820;2647
5001;Comuna;Robledo; 75-79;2596;984;1612
5001;Comuna;Robledo; 80 Y MÁS;2759;952;1807
5001;Comuna;Villa Hermosa; Total;138542;66662;71880
5001;Comuna;Villa Hermosa; 0-4;9971;5104;4867
5001;Comuna;Villa Hermosa; 5-9;10346;5294;5052
5001;Comuna;Villa Hermosa; 10-14;10228;5262;4966
5001;Comuna;Villa Hermosa; 15-19;11280;5822;5458
5001;Comuna;Villa Hermosa; 20-24;11901;6086;5815
5001;Comuna;Villa Hermosa; 25-29;12581;6480;6101
5001;Comuna;Villa Hermosa; 30-34;11909;5991;5918
5001;Comuna;Villa Hermosa; 35-39;10075;4817;5258
5001;Comuna;Villa Hermosa; 40-44;7885;3591;4294
5001;Comuna;Villa Hermosa; 45-49;7939;3537;4402
5001;Comuna;Villa Hermosa; 50-54;8694;3855;4839
5001;Comuna;Villa Hermosa; 55-59;7737;3391;4346
5001;Comuna;Villa Hermosa; 60-64;6052;2626;3426
5001;Comuna;Villa Hermosa; 65-69;4552;1930;2622
5001;Comuna;Villa Hermosa; 70-74;2970;1213;1757
5001;Comuna;Villa Hermosa; 75-79;1952;760;1192
5001;Comuna;Villa Hermosa; 80 Y MÁS;2470;903;1567
5001;Comuna;Buenos Aires; Total;137255;64777;72478
5001;Comuna;Buenos Aires; 0-4;6968;3564;3404
5001;Comuna;Buenos Aires; 5-9;7288;3716;3572
5001;Comuna;Buenos Aires; 10-14;7212;3707;3505
5001;Comuna;Buenos Aires; 15-19;8611;4418;4193
5001;Comuna;Buenos Aires; 20-24;10025;5100;4925
5001;Comuna;Buenos Aires; 25-29;11343;5739;5604
5001;Comuna;Buenos Aires; 30-34;11011;5401;5610
5001;Comuna;Buenos Aires; 35-39;9835;4646;5189
5001;Comuna;Buenos Aires; 40-44;8276;3798;4478
5001;Comuna;Buenos Aires; 45-49;9630;4463;5167
5001;Comuna;Buenos Aires; 50-54;11503;5228;6275
5001;Comuna;Buenos Aires; 55-59;11146;4910;6236
5001;Comuna;Buenos Aires; 60-64;8586;3759;4827
5001;Comuna;Buenos Aires; 65-69;6071;2614;3457
5001;Comuna;Buenos Aires; 70-74;3991;1655;2336
5001;Comuna;Buenos Aires; 75-79;2713;1049;1664
5001;Comuna;Buenos Aires; 80 Y MÁS;3046;1010;2036
5001;Comuna;La Candelaria; Total;85658;41789;43869
5001;Comuna;La Candelaria; 0-4;3111;1593;1518
5001;Comuna;La Candelaria; 5-9;3453;1772;1681
5001;Comuna;La Candelaria; 10-14;3715;1921;1794
5001;Comuna;La Candelaria; 15-19;4038;2095;1943
5001;Comuna;La Candelaria; 20-24;4557;2365;2192
5001;Comuna;La Candelaria; 25-29;6305;3298;3007
5001;Comuna;La Candelaria; 30-34;7479;3815;3664
5001;Comuna;La Candelaria; 35-39;6949;3437;3512
5001;Comuna;La Candelaria; 40-44;5157;2500;2657
5001;Comuna;La Candelaria; 45-49;5944;2907;3037
5001;Comuna;La Candelaria; 50-54;7206;3529;3677
5001;Comuna;La Candelaria; 55-59;7179;3442;3737
5001;Comuna;La Candelaria; 60-64;6452;3041;3411
5001;Comuna;La Candelaria; 65-69;5097;2352;2745
5001;Comuna;La Candelaria; 70-74;3330;1484;1846
5001;Comuna;La Candelaria; 75-79;2382;1014;1368
5001;Comuna;La Candelaria; 80 Y MÁS;3304;1224;2080
5001;Comuna;Laureles - Estadio; Total;122744;53688;69056
5001;Comuna;Laureles - Estadio; 0-4;2906;1487;1419
5001;Comuna;Laureles - Estadio; 5-9;3533;1791;1742
5001;Comuna;Laureles - Estadio; 10-14;3910;1986;1924
5001;Comuna;Laureles - Estadio; 15-19;4850;2446;2404
5001;Comuna;Laureles - Estadio; 20-24;5523;2757;2766
5001;Comuna;Laureles - Estadio; 25-29;7946;3851;4095
5001;Comuna;Laureles - Estadio; 30-34;9810;4546;5264
5001;Comuna;Laureles - Estadio; 35-39;9010;4027;4983
5001;Comuna;Laureles - Estadio; 40-44;6861;3016;3845
5001;Comuna;Laureles - Estadio; 45-49;7589;3300;4289
5001;Comuna;Laureles - Estadio; 50-54;10124;4311;5813
5001;Comuna;Laureles - Estadio; 55-59;11632;4912;6720
5001;Comuna;Laureles - Estadio; 60-64;11062;4604;6458
5001;Comuna;Laureles - Estadio; 65-69;9895;4013;5882
5001;Comuna;Laureles - Estadio; 70-74;6966;2727;4239
5001;Comuna;Laureles - Estadio; 75-79;5262;1964;3298
5001;Comuna;Laureles - Estadio; 80 Y MÁS;5865;1950;3915
5001;Comuna;La América; Total;96918;43175;53743
5001;Comuna;La América; 0-4;2439;1248;1191
5001;Comuna;La América; 5-9;2883;1479;1404
5001;Comuna;La América; 10-14;3034;1574;1460
5001;Comuna;La América; 15-19;4091;2126;1965
5001;Comuna;La América; 20-24;4923;2543;2380
5001;Comuna;La América; 25-29;6154;3196;2958
5001;Comuna;La América; 30-34;6775;3311;3464
5001;Comuna;La América; 35-39;6377;2944;3433
5001;Comuna;La América; 40-44;5143;2306;2837
5001;Comuna;La América; 45-49;6418;2807;3611
5001;Comuna;La América; 50-54;9502;3984;5518
5001;Comuna;La América; 55-59;10146;4149;5997
5001;Comuna;La América; 60-64;8779;3628;5151
5001;Comuna;La América; 65-69;7678;3164;4514
5001;Comuna;La América; 70-74;5315;2112;3203
5001;Comuna;La América; 75-79;3393;1279;2114
5001;Comuna;La América; 80 Y MÁS;3868;1325;2543
5001;Comuna;San Javier; Total;139175;66766;72409
5001;Comuna;San Javier; 0-4;9775;4999;4776
5001;Comuna;San Javier; 5-9;10642;5426;5216
5001;Comuna;San Javier; 10-14;10930;5603;5327
5001;Comuna;San Javier; 15-19;11672;5967;5705
5001;Comuna;San Javier; 20-24;11885;6011;5874
5001;Comuna;San Javier; 25-29;12005;6107;5898
5001;Comuna;San Javier; 30-34;11317;5597;5720
5001;Comuna;San Javier; 35-39;10307;4907;5400
5001;Comuna;San Javier; 40-44;8614;3940;4674
5001;Comuna;San Javier; 45-49;8838;3983;4855
5001;Comuna;San Javier; 50-54;9205;4157;5048
5001;Comuna;San Javier; 55-59;7705;3394;4311
5001;Comuna;San Javier; 60-64;5679;2443;3236
5001;Comuna;San Javier; 65-69;4049;1698;2351
5001;Comuna;San Javier; 70-74;2620;1057;1563
5001;Comuna;San Javier; 75-79;1693;644;1049
5001;Comuna;San Javier; 80 Y MÁS;2239;833;1406
5001;Comuna;El Poblado; Total;131486;59583;71903
5001;Comuna;El Poblado; 0-4;3666;1877;1789
5001;Comuna;El Poblado; 5-9;4212;2142;2070
5001;Comuna;El Poblado; 10-14;4527;2328;2199
5001;Comuna;El Poblado; 15-19;5353;2731;2622
5001;Comuna;El Poblado; 20-24;6363;3205;3158
5001;Comuna;El Poblado; 25-29;8189;4063;4126
5001;Comuna;El Poblado; 30-34;9540;4407;5133
5001;Comuna;El Poblado; 35-39;9600;4071;5529
5001;Comuna;El Poblado; 40-44;8681;3561;5120
5001;Comuna;El Poblado; 45-49;10461;4706;5755
5001;Comuna;El Poblado; 50-54;13356;6105;7251
5001;Comuna;El Poblado; 55-59;13622;6063;7559
5001;Comuna;El Poblado; 60-64;11246;4969;6277
5001;Comuna;El Poblado; 65-69;8634;3760;4874
5001;Comuna;El Poblado; 70-74;5739;2409;3330
5001;Comuna;El Poblado; 75-79;4086;1662;2424
5001;Comuna;El Poblado; 80 Y MÁS;4211;1524;2687
5001;Comuna;Guayabal; Total;95397;45012;50385
5001;Comuna;Guayabal; 0-4;4175;2137;2038
5001;Comuna;Guayabal; 5-9;4428;2250;2178
5001;Comuna;Guayabal; 10-14;4523;2338;2185
5001;Comuna;Guayabal; 15-19;5268;2730;2538
5001;Comuna;Guayabal; 20-24;6217;3187;3030
5001;Comuna;Guayabal; 25-29;7460;3831;3629
5001;Comuna;Guayabal; 30-34;7620;3825;3795
5001;Comuna;Guayabal; 35-39;6692;3178;3514
5001;Comuna;Guayabal; 40-44;5463;2488;2975
5001;Comuna;Guayabal; 45-49;6768;3115;3653
5001;Comuna;Guayabal; 50-54;8231;3759;4472
5001;Comuna;Guayabal; 55-59;7821;3460;4361
5001;Comuna;Guayabal; 60-64;6743;2968;3775
5001;Comuna;Guayabal; 65-69;5364;2330;3034
5001;Comuna;Guayabal; 70-74;3552;1479;2073
5001;Comuna;Guayabal; 75-79;2546;1012;1534
5001;Comuna;Guayabal; 80 Y MÁS;2526;925;1601
5001;Comuna;Belén; Total;197399;90472;106927
5001;Comuna;Belén; 0-4;8406;4316;4090
5001;Comuna;Belén; 5-9;9304;4812;4492
5001;Comuna;Belén; 10-14;9695;5027;4668
5001;Comuna;Belén; 15-19;12281;6157;6124
5001;Comuna;Belén; 20-24;14230;6974;7256
5001;Comuna;Belén; 25-29;15365;7558;7807
5001;Comuna;Belén; 30-34;15848;7557;8291
5001;Comuna;Belén; 35-39;14129;6520;7609
5001;Comuna;Belén; 40-44;11069;4924;6145
5001;Comuna;Belén; 45-49;13116;5781;7335
5001;Comuna;Belén; 50-54;16739;7414;9325
5001;Comuna;Belén; 55-59;16754;7183;9571
5001;Comuna;Belén; 60-64;13710;5772;7938
5001;Comuna;Belén; 65-69;10397;4336;6061
5001;Comuna;Belén; 70-74;6893;2768;4125
5001;Comuna;Belén; 75-79;4369;1632;2737
5001;Comuna;Belén; 80 Y MÁS;5094;1741;3353
5001;Corregimiento;Palmitas; Total;7061;3337;3724
5001;Corregimiento;Palmitas; 0-4;474;241;233
5001;Corregimiento;Palmitas; 5-9;417;212;205
5001;Corregimiento;Palmitas; 10-14;543;275;268
5001;Corregimiento;Palmitas; 15-19;609;307;302
5001;Corregimiento;Palmitas; 20-24;666;327;339
5001;Corregimiento;Palmitas; 25-29;646;316;330
5001;Corregimiento;Palmitas; 30-34;505;242;263
5001;Corregimiento;Palmitas; 35-39;430;203;227
5001;Corregimiento;Palmitas; 40-44;634;299;335
5001;Corregimiento;Palmitas; 45-49;611;285;326
5001;Corregimiento;Palmitas; 50-54;507;231;276
5001;Corregimiento;Palmitas; 55-59;361;158;203
5001;Corregimiento;Palmitas; 60-64;233;96;137
5001;Corregimiento;Palmitas; 65-69;198;76;122
5001;Corregimiento;Palmitas; 70-74;109;37;72
5001;Corregimiento;Palmitas; 75-79;87;27;60
5001;Corregimiento;Palmitas; 80 Y MÁS;31;5;26
5001;Corregimiento;San Cristóbal; Total;93072;44295;48777
5001;Corregimiento;San Cristóbal; 0-4;6985;3555;3430
5001;Corregimiento;San Cristóbal; 5-9;6898;3505;3393
5001;Corregimiento;San Cristóbal; 10-14;8400;4256;4144
5001;Corregimiento;San Cristóbal; 15-19;8337;4191;4146
5001;Corregimiento;San Cristóbal; 20-24;9241;4540;4701
5001;Corregimiento;San Cristóbal; 25-29;9375;4534;4841
5001;Corregimiento;San Cristóbal; 30-34;8014;3780;4234
5001;Corregimiento;San Cristóbal; 35-39;7614;3538;4076
5001;Corregimiento;San Cristóbal; 40-44;8303;3863;4440
5001;Corregimiento;San Cristóbal; 45-49;6913;3178;3735
5001;Corregimiento;San Cristóbal; 50-54;4641;2100;2541
5001;Corregimiento;San Cristóbal; 55-59;3257;1414;1843
5001;Corregimiento;San Cristóbal; 60-64;1901;785;1116
5001;Corregimiento;San Cristóbal; 65-69;1243;478;765
5001;Corregimiento;San Cristóbal; 70-74;887;301;586
5001;Corregimiento;San Cristóbal; 75-79;780;234;546
5001;Corregimiento;San Cristóbal; 80 Y MÁS;283;43;240
5001;Corregimiento;Altavista; Total;38574;18471;20103
5001;Corregimiento;Altavista; 0-4;3281;1670;1611
5001;Corregimiento;Altavista; 5-9;3183;1618;1565
5001;Corregimiento;Altavista; 10-14;3538;1792;1746
5001;Corregimiento;Altavista; 15-19;3467;1736;1731
5001;Corregimiento;Altavista; 20-24;3888;1910;1978
5001;Corregimiento;Altavista; 25-29;3861;1886;1975
5001;Corregimiento;Altavista; 30-34;3270;1562;1708
5001;Corregimiento;Altavista; 35-39;2990;1413;1577
5001;Corregimiento;Altavista; 40-44;3270;1540;1730
5001;Corregimiento;Altavista; 45-49;2689;1249;1440
5001;Corregimiento;Altavista; 50-54;1896;862;1034
5001;Corregimiento;Altavista; 55-59;1107;482;625
5001;Corregimiento;Altavista; 60-64;717;293;424
5001;Corregimiento;Altavista; 65-69;520;196;324
5001;Corregimiento;Altavista; 70-74;421;139;282
5001;Corregimiento;Altavista; 75-79;367;107;260
5001;Corregimiento;Altavista; 80 Y MÁS;109;16;93
5001;Corregimiento;San Antonio; Total;117594;56234;61360
5001;Corregimiento;San Antonio; 0-4;8610;4380;4230
5001;Corregimiento;San Antonio; 5-9;8208;4170;4038
5001;Corregimiento;San Antonio; 10-14;9796;4964;4832
5001;Corregimiento;San Antonio; 15-19;9925;4991;4934
5001;Corregimiento;San Antonio; 20-24;11907;5855;6052
5001;Corregimiento;San Antonio; 25-29;11737;5735;6002
5001;Corregimiento;San Antonio; 30-34;10736;5123;5613
5001;Corregimiento;San Antonio; 35-39;9990;4722;5268
5001;Corregimiento;San Antonio; 40-44;11105;5232;5873
5001;Corregimiento;San Antonio; 45-49;8874;4126;4748
5001;Corregimiento;San Antonio; 50-54;6166;2809;3357
5001;Corregimiento;San Antonio; 55-59;4119;1800;2319
5001;Corregimiento;San Antonio; 60-64;2517;1032;1485
5001;Corregimiento;San Antonio; 65-69;1601;606;995
5001;Corregimiento;San Antonio; 70-74;1102;371;731
5001;Corregimiento;San Antonio; 75-79;875;269;606
5001;Corregimiento;San Antonio; 80 Y MÁS;326;49;277
5001;Corregimiento;Santa Elena; Total;19559;9349;10210
5001;Corregimiento;Santa Elena; 0-4;1559;793;766
5001;Corregimiento;Santa Elena; 5-9;1491;757;734
5001;Corregimiento;Santa Elena; 10-14;1725;873;852
5001;Corregimiento;Santa Elena; 15-19;1670;840;830
5001;Corregimiento;Santa Elena; 20-24;1785;879;906
5001;Corregimiento;Santa Elena; 25-29;1997;976;1021
5001;Corregimiento;Santa Elena; 30-34;1757;843;914
5001;Corregimiento;Santa Elena; 35-39;1495;706;789
5001;Corregimiento;Santa Elena; 40-44;1514;714;800
5001;Corregimiento;Santa Elena; 45-49;1488;691;797
5001;Corregimiento;Santa Elena; 50-54;1077;491;586
5001;Corregimiento;Santa Elena; 55-59;678;298;380
5001;Corregimiento;Santa Elena; 60-64;511;211;300
5001;Corregimiento;Santa Elena; 65-69;353;136;217
5001;Corregimiento;Santa Elena; 70-74;250;85;165
5001;Corregimiento;Santa Elena; 75-79;159;49;110
5001;Corregimiento;Santa Elena; 80 Y MÁS;50;7;43
5001;Comuna;Suma Comunas; Total;2232592;1048852;1183740
5001;Comuna;Suma Comunas; 0-4;124947;63945;61002
5001;Comuna;Suma Comunas; 5-9;129737;66236;63501
5001;Comuna;Suma Comunas; 10-14;130945;67247;63698
5001;Comuna;Suma Comunas; 15-19;144232;73764;70468
5001;Comuna;Suma Comunas; 20-24;159430;80665;78765
5001;Comuna;Suma Comunas; 25-29;178851;90363;88488
5001;Comuna;Suma Comunas; 30-34;176685;86137;90548
5001;Comuna;Suma Comunas; 35-39;156713;72949;83764
5001;Comuna;Suma Comunas; 40-44;131437;59277;72160
5001;Comuna;Suma Comunas; 45-49;153013;69208;83805
5001;Comuna;Suma Comunas; 50-54;180789;81218;99571
5001;Comuna;Suma Comunas; 55-59;168640;74005;94635
5001;Comuna;Suma Comunas; 60-64;133980;58088;75892
5001;Comuna;Suma Comunas; 65-69;101555;43283;58272
5001;Comuna;Suma Comunas; 70-74;67178;27582;39596
5001;Comuna;Suma Comunas; 75-79;44643;17341;27302
5001;Comuna;Suma Comunas; 80 Y MÁS;49817;17544;32273
5001;Corregimiento;Suma Corregimientos; Total;275860;131686;144174
5001;Corregimiento;Suma Corregimientos; 0-4;20909;10639;10270
5001;Corregimiento;Suma Corregimientos; 5-9;20197;10262;9935
5001;Corregimiento;Suma Corregimientos; 10-14;24002;12160;11842
5001;Corregimiento;Suma Corregimientos; 15-19;24008;12065;11943
5001;Corregimiento;Suma Corregimientos; 20-24;27487;13511;13976
5001;Corregimiento;Suma Corregimientos; 25-29;27616;13447;14169
5001;Corregimiento;Suma Corregimientos; 30-34;24282;11550;12732
5001;Corregimiento;Suma Corregimientos; 35-39;22519;10582;11937
5001;Corregimiento;Suma Corregimientos; 40-44;24826;11648;13178
5001;Corregimiento;Suma Corregimientos; 45-49;20575;9529;11046
5001;Corregimiento;Suma Corregimientos; 50-54;14287;6493;7794
5001;Corregimiento;Suma Corregimientos; 55-59;9522;4152;5370
5001;Corregimiento;Suma Corregimientos; 60-64;5879;2417;3462
5001;Corregimiento;Suma Corregimientos; 65-69;3915;1492;2423
5001;Corregimiento;Suma Corregimientos; 70-74;2769;933;1836
5001;Corregimiento;Suma Corregimientos; 75-79;2268;686;1582
5001;Corregimiento;Suma Corregimientos; 80 Y MÁS;799;120;679
5001;Total Medellín;Total Medellín; Total;2508452;1180538;1327914
5001;Total Medellín;Total Medellín; 0-4;145856;74584;71272
5001;Total Medellín;Total Medellín; 5-9;149934;76498;73436
5001;Total Medellín;Total Medellín; 10-14;154947;79407;75540
5001;Total Medellín;Total Medellín; 15-19;168240;85829;82411
5001;Total Medellín;Total Medellín; 20-24;186917;94176;92741
5001;Total Medellín;Total Medellín; 25-29;206467;103810;102657
5001;Total Medellín;Total Medellín; 30-34;200967;97687;103280
5001;Total Medellín;Total Medellín; 35-39;179232;83531;95701
5001;Total Medellín;Total Medellín; 40-44;156263;70925;85338
5001;Total Medellín;Total Medellín; 45-49;173588;78737;94851
5001;Total Medellín;Total Medellín; 50-54;195076;87711;107365
5001;Total Medellín;Total Medellín; 55-59;178162;78157;100005
5001;Total Medellín;Total Medellín; 60-64;139859;60505;79354
5001;Total Medellín;Total Medellín; 65-69;105470;44775;60695
5001;Total Medellín;Total Medellín; 70-74;69947;28515;41432
5001;Total Medellín;Total Medellín; 75-79;46911;18027;28884
5001;Total Medellín;Total Medellín; 80 Y MÁS;50616;17664;32952